id,content
449,คำถาม: กำหนดการชำระค่าธรรมเนียมและลงทะเบียนเรียน ภาคการศึกษาที่ 1/2569 คือช่วงใด คำตอบ: 1 - 10 กรกฎาคม 2569
450,คำถาม: วันปฐมนิเทศนักศึกษาใหม่ ปีการศึกษา 2569 คือวันที่เท่าไหร่ คำตอบ: 25 กรกฎาคม 2569
451,คำถาม: วันเปิดภาคการศึกษาที่ 1/2569 (วันแรกของการเรียน) คือวันที่เท่าไหร่ คำตอบ: 2 สิงหาคม 2569
452,คำถาม: ช่วงเวลาสอบกลางภาค ภาคการศึกษาที่ 1/2569 คือช่วงใด คำตอบ: 27 กันยายน - 5 ตุลาคม 2569
453,คำถาม: วันสุดท้ายของการถอนรายวิชา (ติด W) ภาคการศึกษาที่ 1/2569 คือวันไหน คำตอบ: 15 ตุลาคม 2569
454,คำถาม: ช่วงเวลาสอบปลายภาค ภาคการศึกษาที่ 1/2569 คือช่วงใด คำตอบ: 22 พฤศจิกายน - 4 ธันวาคม 2569
455,คำถาม: วันปิดภาคการศึกษาที่ 1/2569 คือวันที่เท่าไหร่ คำตอบ: 11 ธันวาคม 2569
456,คำถาม: วันประกาศผลการศึกษา (เกรดออก) ภาคการศึกษาที่ 1/2569 คือวันไหน คำตอบ: 18 ธันวาคม 2569
457,คำถาม: กำหนดการชำระค่าธรรมเนียมและลงทะเบียนเรียน ภาคการศึกษาที่ 2/2569 คือช่วงใด คำตอบ: 15 - 25 ธันวาคม 2569
458,คำถาม: วันเปิดภาคการศึกษาที่ 2/2569 (วันแรกของการเรียน) คือวันที่เท่าไหร่ คำตอบ: 4 มกราคม 2570
459,คำถาม: ช่วงเวลาสอบกลางภาค ภาคการศึกษาที่ 2/2569 คือช่วงใด คำตอบ: 1 - 9 มีนาคม 2570
460,คำถาม: วันสุดท้ายของการถอนรายวิชา (ติด W) ภาคการศึกษาที่ 2/2569 คือวันไหน คำตอบ: 20 มีนาคม 2570
461,คำถาม: ช่วงเวลาสอบปลายภาค ภาคการศึกษาที่ 2/2569 คือช่วงใด คำตอบ: 2 - 15 พฤษภาคม 2570
462,คำถาม: วันปิดภาคการศึกษาที่ 2/2569 คือวันที่เท่าไหร่ คำตอบ: 22 พฤษภาคม 2570
463,คำถาม: วันประกาศผลการศึกษา (เกรดออก) ภาคการศึกษาที่ 2/2569 คือวันไหน คำตอบ: 29 พฤษภาคม 2570
464,คำถาม: กำหนดการลงทะเบียนเรียน ภาคฤดูร้อน ปีการศึกษา 2569 คือช่วงใด คำตอบ: 1 - 3 มิถุนายน 2570
465,คำถาม: วันเปิดภาคการศึกษาฤดูร้อน ปีการศึกษา 2569 คือวันที่เท่าไหร่ คำตอบ: 5 มิถุนายน 2570
466,คำถาม: ช่วงเวลาสอบปลายภาค ภาคฤดูร้อน ปีการศึกษา 2569 คือช่วงใด คำตอบ: 20 - 22 กรกฎาคม 2570
467,คำถาม: วันปิดภาคการศึกษาฤดูร้อน ปีการศึกษา 2569 คือวันที่เท่าไหร่ คำตอบ: 24 กรกฎาคม 2570
